item,type,pre_test,post_test,gain,ctt_diff,irt_diff,ctt_disc,irt_disc,point_biserial,irt_guess,alpha_if_removed,problematic
Q01,E,0.2855,0.4581,0.2416,0.3694,1.0386,0.4283,1.8404,0.3336,0.186,0.7458,False
Q02,E,0.4118,0.4628,0.0867,0.4366,0.2477,0.5103,1.4336,0.4206,0.0125,0.7398,False
Q03,M,0.4208,0.3959,-0.0591,0.4087,1.0763,0.3111,0.6516,0.2065,0.1032,0.754,False
Q04,E,0.4425,0.4171,-0.0575,0.4302,0.6567,0.4493,1.5053,0.3538,0.1549,0.7443,False
Q05,M,0.216,0.267,0.0651,0.2408,1.6048,0.3723,2.0343,0.2852,0.1465,0.7489,False
Q06,E,0.2187,0.3646,0.1867,0.2896,1.5596,0.353,2.3626,0.2591,0.2068,0.7504,False
Q07,M,0.4887,0.4528,-0.0735,0.4713,0.0734,0.5572,1.9354,0.4723,0.0047,0.7362,False
Q08,E,0.2729,0.3386,0.0903,0.3048,1.3047,0.4082,1.8293,0.3166,0.1634,0.7469,False
Q09,E,0.3029,0.2425,-0.1993,0.2735,1.8638,0.3141,1.3025,0.2198,0.1681,0.7527,False
Q10,M,0.2638,0.3054,0.0565,0.284,1.5585,0.3573,2.158,0.2643,0.1934,0.7501,False
Q11,M,0.3016,0.267,-0.1147,0.2848,0.9514,0.5257,1.896,0.4463,0.0643,0.739,False
Q12,E,0.2537,0.299,0.0608,0.2757,1.7033,0.3224,2.3877,0.2282,0.2095,0.7522,False
Q13,E,0.411,0.3761,-0.085,0.394,1.4681,0.334,1.2424,0.2313,0.2631,0.7524,True
Q14,M,0.4624,0.3707,-0.1982,0.4179,1.1763,0.3759,1.6689,0.2749,0.2766,0.7496,True
Q15,E,0.3465,0.3014,-0.1303,0.3246,1.0066,0.4752,1.851,0.3876,0.1261,0.7424,False
Q16,E&M,0.3643,0.3921,0.0437,0.3778,2.0121,0.2345,0.3629,0.128,0.0776,0.7589,True
Q17,E,0.2888,0.3262,0.0526,0.307,1.827,0.291,2.1832,0.192,0.2509,0.7545,True
Q18,M,0.2964,0.3444,0.0682,0.3197,0.9555,0.4442,1.1923,0.3542,0.0503,0.7445,False
Q19,M,0.4452,0.4268,-0.0414,0.4363,0.6353,0.438,1.357,0.3413,0.1459,0.7452,False
Q20,E,0.3081,0.3706,0.0904,0.3384,0.9397,0.5021,2.7194,0.4161,0.1608,0.7405,True
Q21,M,0.4017,0.4056,0.0065,0.4036,1.1645,0.3909,1.9005,0.2916,0.2646,0.7485,True
Q22,E,0.196,0.2003,0.0054,0.1981,2.7276,0.1958,1.5205,0.1076,0.1642,0.7583,True
Q23,M,0.2958,0.323,0.0388,0.309,1.8322,0.2353,4.2727,0.1339,0.2786,0.758,True
Q24,E,0.2108,0.2695,0.0744,0.2393,1.7444,0.3227,2.4102,0.2329,0.1753,0.7519,False
Q25,E,0.2215,0.1888,-0.1477,0.2056,1.7682,0.3617,1.4111,0.2789,0.0881,0.7493,False
